yyyy,mm,dd,latitude,longitude,depth,mag,magType
1904,8,30,25.5166,97.0211,15.0,7.6,ke  
1908,2,9,29.2781,100.6556,15.0,6.7,ke  
1908,12,12,26.9477,96.7734,15.0,7.0,ke  
1912,5,23,21.0361,96.7366,15.0,7.5,ke  
1913,12,21,24.2449,102.2274,15.0,6.6,ke  
1914,3,28,25.0,99.0,100.0,6.9,ke  
1915,12,3,27.6997,91.6401,15.0,6.5,ke  
1918,7,8,24.599,90.8528,15.0,7.2,ke  
1922,5,2,20.0485,98.2534,35.0,6.7,ke  
1923,6,22,22.8451,98.7111,25.0,7.3,ke  
1923,9,9,24.9372,90.7207,15.0,6.9,ke  
1926,5,10,26.0,97.0,80.0,6.2,ke  
1926,5,29,15.0,92.0,35.0,5.6,ke  
1927,3,15,24.5,95.0,130.0,6.5,ke  
1929,8,8,19.3169,95.8375,15.0,6.6,ke  
1930,7,2,25.9288,90.1765,15.0,7.2,ke  
1930,9,21,25.8059,98.6093,15.0,6.9,ke  
1930,9,22,25.0,94.0,35.0,6.2,ke  
1930,12,3,18.2335,96.2981,10.0,7.5,ke  
1931,1,27,25.8505,96.7897,15.0,7.6,ke  
1931,5,27,27.5,98.5,35.0,5.6,ke  
1931,11,30,15.5,92.5,35.0,5.6,ke  
1932,3,6,25.5,92.5,35.0,5.6,ke  
1932,3,24,25.0,90.0,35.0,5.6,ke  
1932,3,27,24.5,92.0,35.0,5.6,ke  
1932,8,14,25.8368,95.6386,110.0,7.0,ke  
1932,11,9,26.5,92.0,35.0,5.6,ke  
1933,3,6,26.0,90.5,35.0,5.6,ke  
1933,6,7,27.25,100.25,35.0,6.2,ke  
1933,7,3,19.0,97.0,35.0,5.6,ke  
1933,8,11,25.6552,98.403,10.0,6.3,ke  
1933,11,19,25.0,98.0,35.0,5.6,ke  
1934,6,2,24.5,95.0,130.0,6.5,ke  
1935,4,23,24.0,94.75,110.0,6.2,ke  
1936,2,21,23.0,96.0,35.0,5.6,ke  
1937,8,31,26.0145,96.708,15.0,6.5,ke  
1938,4,14,23.2276,94.4628,105.0,6.8,ke  
1938,5,6,24.5,95.0,100.0,5.8,ke  
1938,8,16,22.7523,93.9154,75.0,7.0,ke  
1939,5,27,24.3996,94.0825,65.7,5.9,ke  
1940,5,11,23.75,94.25,80.0,6.5,ke  
1941,1,21,27.1659,91.8596,15.0,6.6,ke  
1941,1,27,26.5,92.5,180.0,6.5,ke  
1941,2,23,28.0,96.0,90.0,5.5,ke  
1941,5,16,23.7137,99.2474,25.0,7.0,ke  
1941,5,22,27.5,93.0,35.0,5.6,ke  
1941,12,26,22.4084,99.8142,10.0,7.2,ke  
1943,10,23,26.6373,93.8518,15.0,7.2,ke  
1946,9,12,24.0536,95.6662,15.0,7.9,ke  
1950,2,2,21.9509,99.9695,35.0,7.0,ke  
1950,8,15,25.3428,92.9443,25.0,6.0,fe  
1950,8,16,28.3804,95.8944,25.0,6.2,ke  
1950,8,16,27.4921,92.8015,15.0,5.8,fe  
1950,8,18,29.2111,95.8051,20.0,6.4,fe  
1950,8,24,28.2492,96.6719,25.0,5.3,ke  
1950,9,13,27.6048,95.133,25.0,6.1,fe  
1950,9,30,28.8732,94.4095,20.0,6.3,ke  
1950,10,3,27.1614,97.5083,25.0,5.9,ke  
1950,12,29,23.8537,91.8439,15.0,5.6,ke  
1951,3,12,27.9896,94.6677,25.0,5.8,fe  
1951,12,21,26.5789,100.0133,27.5,6.3,ke  
1952,6,19,22.5653,99.7973,10.0,6.7,ke  
1952,8,25,28.1379,93.9051,15.0,5.4,ke  
1954,2,23,27.6723,91.6049,15.0,6.1,ke  
1954,3,21,24.4471,95.0584,183.9,7.4,ke  
1955,3,22,25.8275,98.3375,60.0,5.8,ke  
1955,5,4,27.0514,96.9272,15.0,5.7,ke  
1955,8,21,23.9798,95.8426,15.0,5.6,ke  
1955,9,8,25.0,95.0,150.0,5.7,ke  
1955,12,14,21.8191,92.6564,35.0,6.1,ke  
1956,2,29,23.3022,94.2762,52.7,6.1,ke  
1956,6,12,25.0295,90.8534,15.0,5.8,ke  
1956,7,12,22.654,94.0503,90.0,5.8,ke  
1956,7,16,22.1785,95.7813,34.3,7.0,ke  
1956,8,22,27.9738,95.2113,15.0,5.2,ke  
1956,9,19,23.7406,94.7043,114.9,6.1,ke  
1956,12,21,26.6106,96.2078,15.0,5.6,ke  
1957,5,28,25.5251,95.0628,80.0,5.2,ke  
1957,7,1,24.3104,93.8943,65.0,6.1,ke  
1958,1,6,25.6481,96.802,15.0,5.7,ke  
1958,2,9,24.7523,90.6874,25.0,5.0,ke  
1958,2,13,27.7011,92.56,15.0,5.5,ke  
1958,3,22,23.5149,93.842,50.0,6.0,fe  
1959,2,14,27.6043,96.4587,15.0,5.4,ke  
1959,4,9,25.6492,94.741,60.0,5.1,ke  
1959,5,24,26.1467,90.1901,20.0,5.0,ke  
1959,8,27,25.086,96.1271,35.0,5.4,ke  
1959,11,2,21.5438,92.4258,35.0,5.7,ke  
